"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.500628000E0,-1.832189941E-1,4.156855774E-1,9.813293152E0
2.510699000E0,-2.811154175E-1,4.019142151E-1,9.818831635E0
2.520769000E0,3.736230469E-1,2.314187622E-1,9.813592529E0
2.530840000E0,1.842668152E-1,2.474354553E-1,9.812844086E0
2.540910000E0,-2.035766602E-2,2.992277527E-1,9.801318054E0
2.550980000E0,4.475692749E-1,5.718109131E-2,9.817933502E0
2.561051000E0,7.273374939E-1,5.688171387E-2,9.804910583E0
2.571121000E0,4.317022705E-1,1.604663086E-1,9.807904358E0
2.581192000E0,3.056643677E-1,3.010240173E-1,9.817484436E0
2.591262000E0,5.875282288E-1,6.152206421E-2,9.807155914E0
2.601333000E0,1.248403931E0,-3.469784546E-1,9.816885681E0
2.611403000E0,1.963017883E0,6.706054688E-2,9.780062256E0
2.621473000E0,1.944606171E0,3.011737061E-1,9.781110077E0
2.631544000E0,2.775677948E0,3.382965088E-1,9.808952179E0
2.641614000E0,3.385360107E0,1.863624573E-1,9.713001709E0
2.651685000E0,3.064277802E0,4.775070190E-2,9.765991516E0
2.661755000E0,3.280278625E0,-2.475851440E-1,9.775272217E0
2.671825000E0,3.686982880E0,-2.799179077E-2,9.771529999E0
2.681896000E0,3.717519379E0,4.572990417E-1,9.702523499E0
2.691966000E0,4.927902374E0,8.402027893E-1,9.738149414E0
2.702037000E0,5.973927155E0,1.156495056E0,9.783355408E0
2.712107000E0,6.141578522E0,8.138575745E-1,9.688602448E0
2.722178000E0,5.856720886E0,5.610333252E-1,9.671238556E0
2.732248000E0,5.905669098E0,4.712200928E-1,9.637408905E0
2.742318000E0,5.967340851E0,4.671784973E-1,9.795330505E0
2.752389000E0,6.143524475E0,4.105961609E-1,9.718689880E0
2.762459000E0,6.145919495E0,5.282514954E-1,9.582622833E0
2.772530000E0,6.143524475E0,8.876541138E-1,9.743837585E0
2.782600000E0,5.928272095E0,1.379830627E0,9.608818359E0
2.792671000E0,5.276976471E0,1.712888031E0,9.844578094E0
2.802741000E0,4.956343231E0,1.795516205E0,9.669741669E0
2.812811000E0,4.580923920E0,1.948498077E0,9.541458435E0
2.822882000E0,4.841232605E0,9.924362183E-1,9.754764862E0
2.832952000E0,5.415588226E0,1.603166199E-1,9.798324280E0
2.843023000E0,5.156477051E0,-3.752696228E-1,9.671537933E0
2.853093000E0,4.395459595E0,-5.836363220E-1,9.767787781E0
2.863164000E0,3.390000458E0,-1.187031555E-1,9.706565094E0
2.873234000E0,2.448009338E0,-2.077679443E-1,9.790989532E0
2.883304000E0,2.154320068E0,1.543290710E-1,9.804910583E0
2.893375000E0,1.693428497E0,5.637277222E-1,9.760153656E0
2.903445000E0,8.331674194E-1,7.957452393E-1,9.863887939E0
2.913516000E0,9.560618591E-1,7.110214233E-1,9.830507355E0
2.923586000E0,1.002465363E0,1.399589539E-1,9.759554901E0
2.933657000E0,-2.718347168E-1,-4.240681458E-1,9.799072723E0
2.943727000E0,1.697470093E-1,-4.858895874E-1,9.939929810E0
2.953797000E0,-3.180885315E-1,-2.230361938E-2,9.818083191E0
2.963868000E0,-9.557624817E-1,2.842588806E-1,9.832453308E0
2.973938000E0,-7.122189331E-1,-6.506968689E-1,9.849817200E0
2.984009167E0,-3.514691162E-1,-9.473799133E-1,1.006282425E1
2.994079167E0,-3.195854187E-1,-1.799258423E0,9.804461517E0
3.004150167E0,-9.815089417E-1,-1.672921143E0,9.796078949E0
3.014220167E0,-1.612596588E0,-7.539820862E-1,9.981692963E0
3.024291167E0,-1.252146149E0,-6.926097107E-1,9.785301361E0
3.034361167E0,-1.381626892E0,-1.124012604E0,1.014245865E1
3.044431167E0,-1.520088959E0,-5.650749207E-1,9.847422180E0
3.054502167E0,-1.433269501E0,2.905458069E-1,9.740095367E0
3.064572167E0,-1.842368774E0,5.231620789E-1,1.016206787E1
3.074643167E0,-1.913770294E0,7.405101013E-1,9.782457275E0
3.084713167E0,-1.457219696E0,1.384171600E0,9.761201477E0
3.094784167E0,-1.071172485E0,3.507206726E-1,9.888287201E0
3.104854167E0,-1.254391479E0,-1.358125763E0,9.824669495E0
3.114924167E0,-1.727557526E0,-1.355431366E0,9.988428955E0
3.124995167E0,-2.861898651E0,2.770738220E-1,9.857451324E0
3.135065167E0,-3.506308594E0,1.386716309E0,9.913734283E0
3.145136167E0,-1.084644470E0,1.320254517E-1,1.003737717E1
3.155206167E0,-1.983076172E0,2.981799316E-1,9.741442566E0
3.165277167E0,-2.398312683E0,6.041436768E-1,9.986632690E0
3.175347167E0,-1.571581879E0,-1.293310547E-1,9.873767395E0
3.185418167E0,-1.080602875E0,7.349716187E-2,9.834848328E0
3.195488167E0,-7.937992859E-1,2.423460388E-1,9.928553467E0
3.205558167E0,-9.122030640E-1,-1.628613281E-1,9.833501129E0
3.215629167E0,-1.713935852E0,-2.513273621E-1,9.916578369E0
3.225699167E0,-2.490820312E0,1.724414062E-1,9.798324280E0
3.235770167E0,-2.444267120E0,3.288661194E-1,9.976603546E0
3.245840167E0,-2.109114075E0,4.695735168E-1,9.804012451E0
3.255911167E0,-1.121916962E0,1.063089294E0,9.935439148E0
3.265981167E0,-1.970652008E0,6.331832886E-1,9.794432373E0
3.276052167E0,-2.352807312E0,-2.404000854E-1,9.878557434E0
3.286122167E0,-2.024989014E0,-1.071771240E-1,9.913584595E0
3.296192167E0,-2.168091431E0,-1.886077881E-2,9.763895874E0
3.306263167E0,-2.768792267E0,-7.813751221E-2,1.001537292E1
3.316333167E0,-3.390898590E0,1.517843628E-1,9.936486969E0
3.326404167E0,-2.803070984E0,-3.293151855E-3,9.948013000E0
3.336474167E0,-2.832110596E0,-3.911366272E-1,9.944420471E0
3.346545167E0,-2.866539001E0,-3.791615295E-1,9.839039612E0
3.356615167E0,-3.115920410E0,2.260299683E-2,9.959688721E0
3.366686167E0,-3.207080841E0,1.422042847E-2,9.995015259E0
3.376756167E0,-2.683918762E0,2.993774414E-4,9.885592804E0
3.386826167E0,-2.126927032E0,1.860630798E-1,9.949659576E0
3.396897167E0,-2.214195557E0,1.309776306E-1,9.843679962E0
3.406967167E0,-2.240840149E0,4.661306763E-1,9.904752960E0
3.417038167E0,-2.232607269E0,1.092278595E0,9.929900665E0
3.427108167E0,-1.835483093E0,5.613327026E-1,9.825717316E0
3.437179167E0,-1.450483704E0,4.296066284E-2,9.862989807E0
3.447249167E0,-1.269809418E0,6.586303711E-3,9.817035370E0
3.457320167E0,-1.210981750E0,3.219804382E-1,9.872270508E0
3.467390167E0,-1.330133972E0,5.074447632E-1,9.858798523E0
3.477461167E0,-8.020321655E-1,3.065625000E-1,9.852511597E0
3.487531167E0,-3.424877930E-1,5.104385376E-1,9.848619690E0
3.497601167E0,-6.283932495E-1,1.115031281E0,9.835896149E0
3.507672167E0,-6.976991272E-1,1.012644196E0,9.854457550E0
3.517742167E0,-7.223977661E-1,7.743397522E-1,9.970316620E0
3.527813167E0,-2.526745605E-1,4.230203247E-1,9.826765137E0
3.537883167E0,1.607656860E-1,-1.942959595E-1,9.832453308E0
3.547954167E0,1.884580994E-1,-2.963836670E-1,9.824220428E0
3.558024167E0,-3.637435913E-1,-9.131011963E-3,9.816586304E0
3.568095167E0,-4.472698975E-1,1.621128845E-1,9.123527527E0
3.578165167E0,-3.688330078E-1,2.392025757E-1,1.044228516E1
3.588236167E0,-1.616638184E-2,-4.775070190E-2,9.612560577E0
3.598306167E0,8.891510010E-2,-1.716929626E-1,9.799072723E0
3.608376167E0,-3.008743286E-1,5.254074097E-2,9.683063965E0
3.618447167E0,-4.942721558E-1,3.282673645E-1,1.009410919E1
3.628517167E0,-4.890330505E-1,4.610412598E-1,9.795330505E0
3.638588167E0,-2.694396973E-1,3.558100891E-1,9.823921051E0
3.648658167E0,-1.124162292E-1,1.633103943E-1,9.829908600E0
3.658729167E0,-2.134561157E-1,2.457888794E-1,9.848020935E0
3.668799167E0,-2.293231201E-1,3.156935120E-1,9.782906342E0
3.678870167E0,-1.023870850E-1,2.486329651E-1,9.867480469E0
3.688940167E0,-5.373825073E-2,1.169068909E-1,9.801168365E0
3.699011167E0,-4.391867065E-1,2.691403198E-1,9.839488678E0
3.709081167E0,-5.529501343E-1,2.276765442E-1,9.845176849E0
3.719152167E0,-6.417155457E-1,2.924917603E-1,9.828561401E0
3.729222167E0,-3.860472107E-1,2.017803955E-1,9.828411713E0
3.739292167E0,-2.484832764E-1,2.466870117E-1,9.825867004E0
3.749363167E0,1.362167358E-2,1.332229614E-1,9.806706848E0
3.759433167E0,6.391708374E-2,1.800755310E-1,9.839189301E0
3.769504167E0,-7.259902954E-2,3.150947571E-1,9.818532257E0
3.779574167E0,2.621049500E-1,1.498384094E-1,9.812095642E0
3.789645167E0,2.601589966E-1,1.559756470E-1,9.794731750E0
3.799715167E0,2.332150269E-1,2.053729248E-1,9.829609222E0
3.809786167E0,2.318678284E-1,2.317181396E-1,9.810149689E0
3.819856167E0,2.300715637E-1,2.170486450E-1,9.844428406E0
3.829927167E0,2.369572449E-1,1.998344421E-1,9.811945953E0
3.839997167E0,2.520758057E-1,2.004331970E-1,9.815688171E0
3.850068167E0,2.444416809E-1,1.826202393E-1,9.812395020E0
3.860138167E0,2.797682190E-1,1.757345581E-1,9.808503113E0
3.870209167E0,2.707868958E-1,1.757345581E-1,9.830357666E0
3.880279167E0,2.540217590E-1,1.721420288E-1,9.814191284E0
3.890350167E0,2.935395813E-1,1.742376709E-1,9.817783813E0
3.900420167E0,2.923420715E-1,1.719923401E-1,9.837542725E0
3.910490167E0,2.544708252E-1,1.969903564E-1,9.802964630E0
3.920561167E0,2.427951050E-1,2.165995789E-1,9.824370117E0
3.930631167E0,2.625540161E-1,1.808239746E-1,9.811796265E0
3.940702167E0,2.568658447E-1,1.710942078E-1,9.819131012E0
3.950772167E0,2.369572449E-1,1.736389160E-1,9.820478210E0
3.960843167E0,2.384541321E-1,1.782792664E-1,9.796827393E0
3.970913167E0,2.564167786E-1,1.655557251E-1,9.818532257E0
3.980984167E0,2.303709412E-1,1.607656860E-1,9.795480194E0
3.991054167E0,2.501298523E-1,1.646575928E-1,9.809251556E0
4.001125167E0,2.359094238E-1,1.719923401E-1,9.796228638E0
4.011195167E0,2.474354553E-1,1.992356873E-1,9.824070740E0
4.021266167E0,2.395019531E-1,2.222877502E-1,9.827513580E0
4.031336167E0,2.363584900E-1,2.249821472E-1,9.833052063E0
4.041407167E0,2.222877502E-1,2.106120300E-1,9.806407471E0
