Time - Force	Amplitude - Force
0,443203	-1,74005
0,443809	-1,75688
0,444414	-1,7386
0,44502	-1,71365
0,445625	-1,7328
0,44623	-1,70292
0,446836	-1,69711
0,447441	-1,68783
0,448047	-1,67884
0,448652	-1,66056
0,449258	-1,62603
0,449863	-1,60949
0,450469	-1,60978
0,451074	-1,58135
0,45168	-1,5712
0,452285	-1,55118
0,452891	-1,51723
0,453496	-1,51288
0,454102	-1,47719
0,454707	-1,45688
0,455313	-1,46414
0,455918	-1,44528
0,456523	-1,39886
0,457129	-1,38812
0,457734	-1,37129
0,45834	-1,34257
0,458945	-1,30166
0,459551	-1,30485
0,460156	-1,27265
0,460762	-1,26104
0,461367	-1,23899
0,461973	-1,19663
0,462578	-1,18764
0,463184	-1,15949
0,463789	-1,14528
0,464395	-1,12874
0,465	-1,09073
0,465605	-1,08174
0,466211	-1,06375
0,466816	-1,01239
0,467422	-1,00804
0,468027	-1,00456
0,468633	-0,98164
0,469238	-0,971195
0,469844	-0,945663
0,470449	-0,920131
0,471055	-0,879512
0,47166	-0,878642
0,472266	-0,882413
0,472871	-0,864425
0,473477	-0,836572
0,474082	-0,806688
0,474687	-0,794792
0,475293	-0,771872
0,475898	-0,791021
0,476504	-0,774773
0,477109	-0,741407
0,477715	-0,74663
0,47832	-0,731833
0,478926	-0,70456
0,479531	-0,706301
0,480137	-0,692665
0,480742	-0,666262
0,481348	-0,670324
0,481953	-0,651465
0,482559	-0,659299
0,483164	-0,641891
0,48377	-0,648274
0,484375	-0,625353
0,48498	-0,624773
0,485586	-0,627964
0,486191	-0,594599
0,486797	-0,607945
0,487402	-0,59721
0,488008	-0,593728
0,488613	-0,617229
0,489219	-0,55514
0,489824	-0,567906
0,49043	-0,568196
0,491035	-0,571388
0,491641	-0,55485
0,492246	-0,549048
0,492852	-0,549628
0,493457	-0,558332
0,494063	-0,558622
0,494668	-0,566746
0,495273	-0,564425
0,495879	-0,548757
0,496484	-0,551659
0,49709	-0,543825
0,497695	-0,549048
0,498301	-0,530769
0,498906	-0,552819
0,499512	-0,549048
0,500117	-0,557171
0,500723	-0,553109
0,501328	-0,536282
0,501934	-0,537442
0,502539	-0,55543
0,503145	-0,55485
0,50375	-0,538312
0,504355	-0,550498
0,504961	-0,559202
0,505566	-0,567036
0,506172	-0,569647
0,506777	-0,566746
0,507383	-0,560943
0,507988	-0,568487
0,508594	-0,562394
0,509199	-0,583864
0,509805	-0,580672
0,51041	-0,580382
0,511016	-0,598951
0,511621	-0,600692
0,512227	-0,57574
0,512832	-0,615198
0,513437	-0,632607
0,514043	-0,616649
0,514648	-0,614038
0,515254	-0,633187
0,515859	-0,631156
0,516465	-0,632607
0,51707	-0,636088
0,517676	-0,625353
0,518281	-0,638119
0,518887	-0,643342
0,519492	-0,652916
0,520098	-0,674386
0,520703	-0,672355
0,521309	-0,647694
0,521914	-0,689183
0,52252	-0,674096
0,523125	-0,693825
0,52373	-0,694696
0,524336	-0,689183
0,524941	-0,690634
0,525547	-0,701659
0,526152	-0,687442
0,526758	-0,705721
0,527363	-0,707462
0,527969	-0,721098
0,528574	-0,740827
0,52918	-0,707171
0,529785	-0,735605
0,530391	-0,74576
0,530996	-0,752433
0,531602	-0,751562
0,532207	-0,754173
0,532813	-0,780576
0,533418	-0,74779
0,534023	-0,760556
0,534629	-0,772452
0,535234	-0,771582
0,53584	-0,753883
0,536445	-0,78986
0,537051	-0,769551
0,537656	-0,758235
0,538262	-0,794502
0,538867	-0,786379
0,539473	-0,799725
0,540078	-0,791601
0,540684	-0,804077
0,541289	-0,798564
0,541895	-0,793922
0,5425	-0,801466
0,543105	-0,792471
0,543711	-0,795953
0,544316	-0,791891
0,544922	-0,801466
0,545527	-0,806398
0,546133	-0,784348
0,546738	-0,798274
0,547344	-0,793052
0,547949	-0,812781
0,548555	-0,794212
0,54916	-0,820615
0,549766	-0,824967
0,550371	-0,79015
0,550977	-0,805527
0,551582	-0,805527
0,552187	-0,798854
0,552793	-0,820615
0,553398	-0,79015
0,554004	-0,78986
0,554609	-0,809299
0,555215	-0,81075
0,55582	-0,793052
0,556426	-0,806688
0,557031	-0,785218
0,557637	-0,78986
0,558242	-0,795083
0,558848	-0,793632
0,559453	-0,796533
0,560059	-0,795373
0,560664	-0,798564
0,56127	-0,805237
0,561875	-0,781736
0,56248	-0,809009
0,563086	-0,794792
0,563691	-0,815392
0,564297	-0,804367
0,564902	-0,793342
0,565508	-0,809009
0,566113	-0,781156
0,566719	-0,786379
0,567324	-0,79015
0,56793	-0,799725
0,568535	-0,803206
0,569141	-0,784057
0,569746	-0,770421
0,570352	-0,793052
0,570957	-0,781736
0,571562	-0,771291
0,572168	-0,786669
0,572773	-0,801466
0,573379	-0,773613
0,573984	-0,777094
